Run Name in ALAB,Target,Precursor 1,Precursor 2,Precursor 3,Furnace,Temperature (C),Dwell Duration (h),Interpretation A,Interpretation B,Prefered Interpretation,Evaluator name,"Interpretation A: Human Evaluation (0-1, 1 is best)",Interpretation A: Reasons for bad evaluation,Interpretation B: Human Evaluation,Interpretation B: Reasons for bad evaluation,Any phase that should not be present?,BalScore A,BalScore B,Extra comments,AIF does not trust,A,B
TRI_189,CaRuO4,CaCO3,RuO2,,BF,1100,8,https://drive.google.com/file/d/1wZ2-Lbxn52lUfhg_G2mvWmOUSOopqDku/view?usp=drive_link,https://drive.google.com/file/d/1WVnGRTrubNXkkUPWVyhdzwwN3EZBvWae/view?usp=drive_link,neither A nor B,,0,"bad intensity fit with only one phase present., missing peaks",0.5,extra phase identified that shouldn't be there,,1,0.9689,"Both interpretations have low Rwp, interpretation a has significant missing peaks and only one phase. Second interpretation has that same phase but with extra phases that explain missing peaks in interpretation A. Overall there are significant missing peaks in both interpretations indicating there was an error in both interpretations.",B,AIF,dARA
TRI_30,CaV2O3,CaCO3,V2O3,,BF,700,8,https://drive.google.com/file/d/16DLV8oIN3C2AyA6KPm80HoA51rnIv2wO/view?usp=drive_link,same,both A & B,,1,missing peaks,1,missing peaks,,1,n/a,Result was different from target but all elements are present and peak pattern matches closely. There were some substantial missing peaks (8) that could indicate a small fraction of an unidentified phase. Conditions are favorable for formation of CaV2O6 (V2O3 forms into V2O5 with O2 in atmosphere and CaCO3 decays to CaO releaseing CO2),Both,DARA,AIF
TRI_104,CaV2O3,CaCO3,V2O5,C ,TF-Ar ,700,12,https://drive.google.com/file/d/1Ycajdi-WH_13KomMYh00EoS_egYgbdDv/view?usp=drive_link,https://drive.google.com/file/d/1t6sgYbjZz9w8F1E96qn8pep68_8Dc0ZX/view?usp=drive_link,neither A nor B,,0,"missing peaks, extra peaks, composition balance",0.5,"missing peaks, extra peaks",,0,0.999,"Interpretation A has many significant missing and extra peaks, many of phases are unstable and does not contain calcium as a output. Interpretation B seems to match the observed peaks better and has some phases containing calcium It is a slightly higher Rwp, and most phases are slightly unstable, but overall a better interpretation. ",A,Dara,AIF
TRI_127,CaV2O3,CaCO3,V2O5,,TF-Ar,800,12,https://drive.google.com/file/d/1wZ2-Lbxn52lUfhg_G2mvWmOUSOopqDku/view?usp=drive_link,https://drive.google.com/file/d/1rbJmCwk64fT4IiOVdGo7lPDy2ZM5YV0R/view?usp=drive_link,both A & B,,1,extra phase identified that shouldn't be there,1,extra phase identified that shouldn't be there,,0.924,0.985,"Both interpretations seem very close, and have low Rwp values. Both contain VO2 which should potentially not be there. Interpretation B has a slightly better fit. ",Neither,AIF,DARA
TRI_31,CaV3O4,CaCO3,V2O5,,BF,700,8,https://drive.google.com/file/d/1sbvQCrtC8Oy0eHDB3-0pJ1xx6griizV3/view?usp=drive_link,https://drive.google.com/file/d/13QWFdOwvbefRTySvYWn_cv0iyxStvPV_/view?usp=drive_link,both A & B,,1,,1,,,0.996,0.997,Both interpretations are almost identical. Both have stable elements and only small error ~4-5%. Only difference is the ratio of phases ,Neither,AIF,DARA
TRI_28,CaVO2,CaCO3,V2O3,,BF,700,8,https://drive.google.com/file/d/1xMYDyex3xopGYOC5o4RcL6o3r1ybKMOF/view?usp=drive_link,https://drive.google.com/file/d/1ffMzU9FTbU4_843y-p5H5-RSVp_D8Sgf/view?usp=drive_link,B,,1,,0,extra phase identified that shouldn't be there,CaC2_15 (no carbon) ,0.978,0.999,"Both fit closely and have stable phases, but CaC2 cannot be produced without carbon ",A,DARA,AIF
TRI_87 ,CaVO2,CaCO3,V2O5,,TF-Ar,700,12,https://drive.google.com/file/d/1LBEQCS1wEtoi45p1U0vdURrn8UlvDdbC/view?usp=drive_link,https://drive.google.com/file/d/14gY6qaE1wT5UGD2vc5p7-CbG1lttzLDY/view?usp=drive_link,neither A nor B,,0,"rwp value, missing peaks, extra phase identified that shouldn't be there",0,"rwp value, missing peaks",,0.928,0.999,"The fit of both interpretations is close to 20% (or over) which indicates a weaker fit. Most phases are most likely stable at high temperatures, but CaO2 is most likely unstable at high temperatures due to high energy above Hull (~0.28eV although this may be a different space group) ",A,DARA,AIF
TRI_126,CaVO2,CaCO3,V2O5,,TF-Ar,800,12,https://drive.google.com/file/d/17YSLmwIO0yII1N9_goIQ5G8_FZOuVgRy/view?usp=drive_link,same,neither A nor B,,0.5,"missing peaks, phase(s) missing",0.5,"missing peaks, phase(s) missing",CaC2_2 (no carbon),0.995,n/a,"Significant missing peaks and C is present in interpretation (possibly from furnace?). CaV2O6 is favored to appear in these conditions, and both phases in interpretation are not favored to appear given reactions required to reach that state. ",Both,AIF,DARA
TRI_197,CaVO2,CaCO3,V2O5,,TF-Ar+H2,600,12,https://drive.google.com/file/d/1eZIuznoLbNqvLubgOJ03l91soPEgES7w/view?usp=drive_link,https://drive.google.com/file/d/1hyJw8CRWPbckSu3JPcdx8q4fB1_eHkOC/view?usp=drive_link,neither A nor B,,0,"missing peaks, rwp value",0,"missing peaks, extra phase identified that shouldn't be there, rwp value",CaC2_2 (no carbon),0.991,0.998,"Carbon is present as above (this could be expected) Both interpretations have a somewhat higher, but reasonable Rwp ~16. Both have a significant amount of missing peaks and the overal profiles of each peak does not match on either interpretation. Chemically all interpretations should be stable. ",B,AIF,DARA
TRI_84,KVO2,K2CO3,V2O3,,TF-Ar,400,12,https://drive.google.com/file/d/17ApHylwrl9cBoFKDDgRkMGalIoYFUCPB/view?usp=drive_link,https://drive.google.com/file/d/1N_VuJgnYg8ZzVD5GzD9WJrc_SfwRzF_b/view?usp=drive_link,neither A nor B,,0.5,composition balance,0,composition balance,K2.84V6O12,0.99,unsure,RwP around 15 for both. Chemically Chat GPT believes that most resultants from this reactions should be the input compounds (no reaction). In interpretation B there is a unknown phase (K2.84V6O16_100) that I could not find. ,A,DARA,AIF
TRI_39,LiV2O3,Li2CO3,V2O5,,BF,600,8,https://drive.google.com/file/d/1XxqnUERSxFlD3C8GS-PYPWKhtrvtuDSl/view?usp=drive_link,https://drive.google.com/file/d/1MkTJNkWtMaVtfvTr9upIdoOBCm8-B5gB/view?usp=drive_link,both A & B,,1,missing peaks,1,missing peaks,Li0.57V3O6?,0.993,unsure ,"Fit is good and only one pronounced missing peak. First Interpretation has only one phase present, while the second interpretation proposes half LiV3O8 with smaller WP of Li4 and Li0.57V3O6 (unsure what this is)",Neither,AIF,DARA
TRI_63,LiV3O4,Li2CO3,V2O5,,BF,500,8,https://drive.google.com/file/d/1YTzaHZpmlqZ1qr1Lni67WYmN-KMWb_7i/view?usp=drive_link,https://drive.google.com/file/d/1N4hSGQTtT_Y5HHf5KVAgVcCP1B5yA4EF/view?usp=drive_link,B,,1,,1,,Li1.94V6O16_11?,unsure,1,Both fit very closely with almost no missing peaks. LiV3O8 will be stable and is present in both interpretations. I was unsure what Li1.94V6O16_11 is so it may be more or less probable. According to ChatGPT LiV3O8 can be formed in these conditions if held at 500C for long enough ,Both,DARA,AIF
TRI_181,NaV2O4,Na2CO3,V2O5,,BF,500,12,https://drive.google.com/file/d/17Ox95CPvJwt6g9xwBBPJFJAUsUY2_lwT/view?usp=drive_link,https://drive.google.com/file/d/1ZJedpAMwA5Z0K2agqoKoOw0lAYfddUNw/view?usp=drive_link,A,,1,,0.5,extra phase identified that shouldn't be there,C1.9992O1.9992_194?,unsure,unsure,"Inspection of peaks shows that While Interpretation B has lower Rwp, the peak profile matches better for Interpretation A. The V2O5 in Interpretation A makes sense as unreacted precursor. Na2CO3 has almost no contribution to peaks, so it may or may not be present. Also in Interpretation B there is significant C1.9992O1.9992 which should not be present given lack of C in reaction ",B,AIF,DARA
TRI_172,MgVO3,MgCO3,V2O5,,BF,600,12,https://drive.google.com/file/d/1Tecn9wlk9TafOAuMokq01TbzvyS9s29S/view?usp=drive_link,https://drive.google.com/file/d/1LctycutOiijsGaHHLl4w6sMZu64wFJ1T/view?usp=drive_link,neither A nor B,(could be both) ,0.5,missing peaks,0.5,missing peaks,,0.983,0.9794,The only sizable difference between Interpretation A and B is the adition of 1% of VO2_136 so both are nearly the same peak fit and profile.Overall error is low in both interpretations. VO2_12 is much more favorable generally so wouldn't make sense to also have VO2_136 present in this setup. ,Neither,DARA,AIF
TRI_106,NaVO2,Na2CO3,V2O5,C,TF-Ar,700,12,https://drive.google.com/file/d/1heOnu1rAZbS7KqmhjOR0So_t_8ixmiCQ/view?usp=drive_link,https://drive.google.com/file/d/1cFUakbQAj9R2-1VgZj_ASh9tRb8PJRoN/view?usp=drive_link,neither A nor B,,0,"missing peaks, phase(s) missing",0,"missing peaks, phase(s) missing",C1.9992O1.9992_194?,0.375,0.4958,"Both fits look somewhat accurate, but are missing many significant peaks. Interpretation A has only one phase present and does not contain a phase with Na which should be very present. Similarly Interpretation B has a very similar phase makeup, but with ~40% C1.9992O1.9992_194 which I am unsure of. This extra phase does decrease the amount of missing peaks. ",Both,AIF,DARA
TRI_112,NaVO2,Na2CO3,V2O3,,TF-Ar + H2,600,12,https://drive.google.com/file/d/1o7ajZ_rxVj-9QVTBylc6M7UOrMJ_ZLYQ/view?usp=drive_link,https://drive.google.com/file/d/1SZGeU83sB--OzSCVUxdIXwxL2HegMKZU/view?usp=drive_link,B,,1,,0.5,"phase(s) missing, extra phase identified that shouldn't be there",,0.414,0.952,"Very similar setup to TRI 106. Interpretation A does not contain a Na phase indicating an error, it also contains C_13 phase which is not a favorable point group for carbon. Interpretation B has a phase somewhat closer to the target phase and it is believable that there is some V2O3 that has been unreacted at this lower temperature",A,DARA,AIF
TRI_182,NaVO3,Na2CO3,V2O5,,BF,500,12,https://drive.google.com/file/d/1YPirzxLnbvBej_Dgr6LdPWKQaKg49uhl/view?usp=drive_link,https://drive.google.com/file/d/1HdrEiSAQAvlb8vtcmIRtY8YbrUovmj6E/view?usp=drive_link,A,,1,,0.5,,,1,1,Both interpretations return the target phase but in different space groups. NaVO3_15 (interpretation A) has been seen experimentally and is stable while NaVO3_9 does not appear on the Materials Project database indicating it would not be present in this experiment. ,Neither,AIF,DARA
